
📺中央卫视数字高清,#genre#
CCTV1,http://tnvcn.com:8012/rtp/239.3.1.129:8008$北/京蓮通1+
CCTV1,http://220.175.144.163:9000/rtp/239.252.219.200:5140$江/西電信
CCTV1,http://220.175.145.4:9000/rtp/239.252.219.200:5140$江/西電信
CCTV1,http://220.176.218.35:8888/rtp/239.252.219.200:5140$江/西電信
CCTV1,http://218.89.233.138:8088/rtp/239.93.0.184:5140$四/川電信
CCTV1,http://218.89.233.140:8088/rtp/239.93.0.184:5140$四/川電信
CCTV1,http://171.214.202.192:4000/rtp/239.93.0.184:5140$四/川電信
CCTV1,http://118.116.82.169:4022/rtp/239.93.0.184:5140$四/川電信
CCTV1,http://117.44.55.64:4022/rtp/239.252.219.200:5140$江/西電信
CCTV1,http://106.118.75.16:4022/rtp/239.254.200.45:8008$河\北電信
CCTV1,http://106.8.125.202:4022/rtp/239.254.200.45:8008$河\北電信
CCTV1,http://27.184.18.144:4022/rtp/239.254.200.45:8008$河\北電信
CCTV1,http://27.191.200.33:14000/rtp/239.254.200.45:8008$河\北電信
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8$
CCTV2,http://tnvcn.com:8012/rtp/239.3.1.60:8084$北/京蓮通1+
CCTV2,http://220.175.144.163:9000/rtp/239.252.220.183:5140$江/西電信
CCTV2,http://220.175.145.4:9000/rtp/239.252.220.183:5140$江/西電信
CCTV2,http://220.176.218.35:8888/rtp/239.252.220.183:5140$江/西電信
CCTV2,http://218.89.233.138:8088/rtp/239.93.1.23:6000$四/川電信
CCTV2,http://218.89.233.140:8088/rtp/239.93.1.23:6000$四/川電信
CCTV2,http://171.214.202.192:4000/rtp/239.93.1.23:6000$四/川電信
CCTV2,http://118.116.82.169:4022/rtp/239.93.1.23:6000$四/川電信
CCTV2,http://117.44.55.64:4022/rtp/239.252.220.183:5140$江/西電信
CCTV2,http://106.118.75.16:4022/rtp/239.254.200.158:6000$河\北電信
CCTV2,http://106.8.125.202:4022/rtp/239.254.200.158:6000$河\北電信
CCTV2,http://27.184.18.144:4022/rtp/239.254.200.158:6000$河\北電信
CCTV2,http://27.191.200.33:14000/rtp/239.254.200.158:6000$河\北電信
CCTV3,http://tnvcn.com:8012/rtp/239.3.1.172:8001$北/京蓮通1+
CCTV3,http://220.175.144.163:9000/rtp/239.252.219.252:5140$江/西電信
CCTV3,http://220.175.144.163:9000/rtp/239.252.220.193:5140$江/西電信
CCTV3,http://220.175.145.4:9000/rtp/239.252.219.252:5140$江/西電信
CCTV3,http://220.175.145.4:9000/rtp/239.252.220.193:5140$江/西電信
CCTV3,http://220.176.218.35:8888/rtp/239.252.219.252:5140$江/西電信
CCTV3,http://220.176.218.35:8888/rtp/239.252.220.193:5140$江/西電信
CCTV3,http://218.89.233.138:8088/rtp/239.93.1.11:2223$四/川電信
CCTV3,http://218.89.233.140:8088/rtp/239.93.1.11:2223$四/川電信
CCTV3,http://171.214.202.192:4000/rtp/239.93.1.11:2223$四/川電信
CCTV3,http://118.116.82.169:4022/rtp/239.93.1.11:2223$四/川電信
CCTV3,http://117.44.55.64:4022/rtp/239.252.219.252:5140$江/西電信
CCTV3,http://117.44.55.64:4022/rtp/239.252.220.193:5140$江/西電信
CCTV3,http://106.118.75.16:4022/rtp/239.254.201.152:7205$河\北電信
CCTV3,http://106.8.125.202:4022/rtp/239.254.201.152:7205$河\北電信
CCTV3,http://27.184.18.144:4022/rtp/239.254.201.152:7205$河\北電信
CCTV3,http://27.191.200.33:14000/rtp/239.254.201.152:7205$河\北電信
CCTV4,http://tnvcn.com:8012/rtp/239.3.1.105:8092$北/京蓮通1+
CCTV4,http://220.175.144.163:9000/rtp/239.252.220.184:5140$江/西電信
CCTV4,http://220.175.145.4:9000/rtp/239.252.220.184:5140$江/西電信
CCTV4,http://220.176.218.35:8888/rtp/239.252.220.184:5140$江/西電信
CCTV4,http://218.89.233.138:8088/rtp/239.93.1.105:5140$四/川電信
CCTV4,http://218.89.233.140:8088/rtp/239.93.1.105:5140$四/川電信
CCTV4,http://171.214.202.192:4000/rtp/239.93.1.105:5140$四/川電信
CCTV4,http://118.116.82.169:4022/rtp/239.93.1.105:5140$四/川電信
CCTV4,http://117.44.55.64:4022/rtp/239.252.220.184:5140$江/西電信
CCTV4,http://106.118.75.16:4022/rtp/239.254.200.190:6307$河\北電信
CCTV4,http://106.8.125.202:4022/rtp/239.254.200.190:6307$河\北電信
CCTV4,http://27.184.18.144:4022/rtp/239.254.200.190:6307$河\北電信
CCTV4,http://27.191.200.33:14000/rtp/239.254.200.190:6307$河\北電信
CCTV5+,http://tnvcn.com:8012/rtp/239.3.1.130:8004$北/京蓮通1+
CCTV5,http://tnvcn.com:8012/rtp/239.3.1.173:8001$北/京蓮通1+
CCTV5,http://220.175.144.163:9000/rtp/239.252.219.198:5140$江/西電信
CCTV5,http://220.175.144.163:9000/rtp/239.252.219.236:5140$江/西電信
CCTV5,http://220.175.144.163:9000/rtp/239.252.219.72:5140$江/西電信
CCTV5,http://220.175.145.4:9000/rtp/239.252.219.198:5140$江/西電信
CCTV5,http://220.175.145.4:9000/rtp/239.252.219.236:5140$江/西電信
CCTV5,http://220.175.145.4:9000/rtp/239.252.219.72:5140$江/西電信
CCTV5,http://220.176.218.35:8888/rtp/239.252.219.198:5140$江/西電信
CCTV5,http://220.176.218.35:8888/rtp/239.252.219.236:5140$江/西電信
CCTV5,http://220.176.218.35:8888/rtp/239.252.219.72:5140$江/西電信
CCTV5,http://218.89.233.138:8088/rtp/239.93.1.36:8004$四/川電信
CCTV5,http://218.89.233.140:8088/rtp/239.93.1.36:8004$四/川電信
CCTV5,http://171.214.202.192:4000/rtp/239.93.1.36:8004$四/川電信
CCTV5,http://118.116.82.169:4022/rtp/239.93.1.36:8004$四/川電信
CCTV5,http://117.44.55.64:4022/rtp/239.252.219.198:5140$江/西電信
CCTV5,http://117.44.55.64:4022/rtp/239.252.219.236:5140$江/西電信
CCTV5,http://117.44.55.64:4022/rtp/239.252.219.72:5140$江/西電信
CCTV5+,http://106.118.75.16:4022/rtp/239.254.200.46:8004$河\北電信
CCTV5+,http://106.8.125.202:4022/rtp/239.254.200.46:8004$河\北電信
CCTV5,http://106.118.75.16:4022/rtp/239.254.201.153:7206$河\北電信
CCTV5,http://106.8.125.202:4022/rtp/239.254.201.153:7206$河\北電信
CCTV5+,http://27.184.18.144:4022/rtp/239.254.200.46:8004$河\北電信
CCTV5+,http://27.191.200.33:14000/rtp/239.254.200.46:8004$河\北電信
CCTV5,http://27.184.18.144:4022/rtp/239.254.201.153:7206$河\北電信
CCTV5,http://27.191.200.33:14000/rtp/239.254.201.153:7206$河\北電信
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$D
CCTV6,http://tnvcn.com:8012/rtp/239.3.1.174:8001$北/京蓮通1+
CCTV6,http://220.175.144.163:9000/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.175.144.163:9000/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://220.175.145.4:9000/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.175.145.4:9000/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://220.176.218.35:8888/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://220.176.218.35:8888/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://218.89.233.138:8088/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://218.89.233.140:8088/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://171.214.202.192:4000/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://118.116.82.169:4022/rtp/239.93.1.13:2226$四/川電信
CCTV6,http://117.44.55.64:4022/rtp/239.252.219.237:5140$江/西電信
CCTV6,http://117.44.55.64:4022/rtp/239.252.220.195:5140$江/西電信
CCTV6,http://106.118.75.16:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://106.8.125.202:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://27.184.18.144:4022/rtp/239.254.201.154:7207$河\北電信
CCTV6,http://27.191.200.33:14000/rtp/239.254.201.154:7207$河\北電信
CCTV7,http://tnvcn.com:8012/rtp/239.3.1.61:8104$北/京蓮通1+
CCTV7,http://220.175.144.163:9000/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://220.175.145.4:9000/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://220.176.218.35:8888/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://218.89.233.138:8088/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://218.89.233.140:8088/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://171.214.202.192:4000/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://118.116.82.169:4022/rtp/239.93.1.67:5140$四/川電信
CCTV7,http://117.44.55.64:4022/rtp/239.252.220.185:5140$江/西電信
CCTV7,http://106.118.75.16:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://106.8.125.202:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://27.184.18.144:4022/rtp/239.254.200.159:6000$河\北電信
CCTV7,http://27.191.200.33:14000/rtp/239.254.200.159:6000$河\北電信
CCTV8,http://tnvcn.com:8012/rtp/239.3.1.175:8001$北/京蓮通1+
CCTV8,http://220.175.144.163:9000/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.175.144.163:9000/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://220.175.145.4:9000/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.175.145.4:9000/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://220.176.218.35:8888/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://220.176.218.35:8888/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://218.89.233.138:8088/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://218.89.233.140:8088/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://171.214.202.192:4000/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://118.116.82.169:4022/rtp/239.93.42.39:5140$四/川電信
CCTV8,http://117.44.55.64:4022/rtp/239.252.219.253:5140$江/西電信
CCTV8,http://117.44.55.64:4022/rtp/239.252.220.196:5140$江/西電信
CCTV8,http://106.118.75.16:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://106.8.125.202:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://27.184.18.144:4022/rtp/239.254.201.155:7208$河\北電信
CCTV8,http://27.191.200.33:14000/rtp/239.254.201.155:7208$河\北電信
CCTV9,http://tnvcn.com:8012/rtp/239.3.1.62:8112$北/京蓮通1+
CCTV9,http://220.175.144.163:9000/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://220.175.145.4:9000/rtp/239.252.220.186:5140$江/西電信
CCTV9,http://220.176.218.35:8888/rtp/239.252.220.186:5140$江/西電信
