
📺中央卫视数字频道,#genre#
CCTV1,http://tnvcn.com:8012/rtp/239.3.1.129:8008$BJ联通1+
CCTV1,http://122.230.39.185:2030/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:2078/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:2121/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:2715/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:347/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:385/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:44158/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:50777/rtp/233.50.201.118:5140
CCTV1,http://122.230.39.185:6060/rtp/233.50.201.118:5140
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8$BK
CCTV2,http://tnvcn.com:8012/rtp/239.3.1.60:8084$BJ联通1+
CCTV2,http://122.230.39.185:2030/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:2078/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:2121/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:2715/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:347/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:385/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:44158/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:50777/rtp/233.50.201.119:5140
CCTV2,http://122.230.39.185:6060/rtp/233.50.201.119:5140
CCTV3,http://tnvcn.com:8012/rtp/239.3.1.172:8001$BJ联通1+
CCTV3,http://122.230.39.185:2030/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:2078/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:2121/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:2715/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:347/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:385/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:44158/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:50777/rtp/233.50.201.196:5140
CCTV3,http://122.230.39.185:6060/rtp/233.50.201.196:5140
CCTV4,http://tnvcn.com:8012/rtp/239.3.1.105:8092$BJ联通1+
CCTV5+,http://tnvcn.com:8012/rtp/239.3.1.130:8004$BJ联通1+
CCTV5,http://tnvcn.com:8012/rtp/239.3.1.173:8001$BJ联通1+
CCTV5+,http://122.230.39.185:2030/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:2078/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:2121/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:2715/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:347/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:385/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:44158/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:50777/rtp/233.50.201.220:5140
CCTV5+,http://122.230.39.185:6060/rtp/233.50.201.220:5140
CCTV5,http://122.230.39.185:2030/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:2078/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:2121/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:2715/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:347/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:385/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:44158/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:50777/rtp/233.50.201.197:5140
CCTV5,http://122.230.39.185:6060/rtp/233.50.201.197:5140
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$DOUYU
CCTV6,http://tnvcn.com:8012/rtp/239.3.1.174:8001$BJ联通1+
CCTV6,http://122.230.39.185:2030/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:2078/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:2121/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:2715/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:347/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:385/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:44158/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:50777/rtp/233.50.201.198:5140
CCTV6,http://122.230.39.185:6060/rtp/233.50.201.198:5140
CCTV7,http://tnvcn.com:8012/rtp/239.3.1.61:8104$BJ联通1+
CCTV7,http://122.230.39.185:2030/rtp/233.50.201.120:5140
CCTV7,http://122.230.39.185:2078/rtp/233.50.201.120:5140
CCTV7,http://122.230.39.185:2121/rtp/233.50.201.120:5140
CCTV7,http://122.230.39.185:2715/rtp/233.50.201.120:5140
