
📺电影轮播标清频道,#genre#
电Y28_xxx,http://cfss.cc/cdn/hy/21059552.flv
电Y50_不挤影院,http://cfss.cc/cdn/hy/11352897.flv
电Y08刘德华1,http://cfss.cc/cdn/hy/11342424.flv#http://43.138.170.29:35455/huya/11342424
电Y42_功夫片,http://cfss.cc/cdn/hy/11352941.flv
电Y47_动作,http://cfss.cc/cdn/hy/11602077.flv
电Y44_动画片,http://cfss.cc/cdn/hy/21059574.flv
电Y66_变形金刚,http://cfss.cc/cdn/hy/21059596.flv
电Y54_古墓系列,http://cfss.cc/cdn/hy/11352913.flv
电Y22古惑,http://cfss.cc/cdn/hy/11336719.flv
电Y01周星驰1,http://cfss.cc/cdn/hy/11342412.flv
电Y02周星驰2,http://cfss.cc/cdn/hy/11336587.flv
电Y32周润发,http://cfss.cc/cdn/hy/11342387.flv#http://43.138.170.29:35455/huya/11342387
电Y62_喜乐影院,http://cfss.cc/cdn/hy/21059580.flv
电Y38喜剧,http://cfss.cc/cdn/hy/11352877.flv
电Y25_国产,http://cfss.cc/cdn/hy/21059595.flv
电Y31_国产,http://cfss.cc/cdn/hy/11352973.flv
电Y51_国产悬疑,http://cfss.cc/cdn/hy/11342395.flv
电Y41_大陆,http://cfss.cc/cdn/hy/21059599.flv
电Y56_女神系列,http://cfss.cc/cdn/hy/11336571.flv
电Y55_嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv
电Y40_小鬼头,http://cfss.cc/cdn/hy/11352963.flv
电Y33巨石强森,http://cfss.cc/cdn/hy/21059581.flv
电Y36巨石强森,http://cfss.cc/cdn/hy/21059581.flv#http://43.138.170.29:35455/huya/21059581
电Y52_快意江湖,http://cfss.cc/cdn/hy/11342435.flv
电Y67_怪兽系列,http://cfss.cc/cdn/hy/21059554.flv
电Y04成龙,http://cfss.cc/cdn/hy/11342386.flv#http://43.138.170.29:35455/huya/11342386
电Y30_战争,http://cfss.cc/cdn/hy/21059592.flv
电Y26_推荐,http://cfss.cc/cdn/hy/11602041.flv
电Y48_搞笑喜剧,http://cfss.cc/cdn/hy/11342423.flv
电Y64_搞笑恐怖,http://cfss.cc/cdn/hy/11601960.flv
电Y27_救援,http://cfss.cc/cdn/hy/21059594.flv
电Y68斗鱼2y,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
电Y69斗鱼3y,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
电Y39_斯坦森,http://cfss.cc/cdn/hy/21059588.flv
电Y03李连杰1,http://cfss.cc/cdn/hy/11342390.flv#http://43.138.170.29:35455/huya/11342390
电Y07林正英1,http://cfss.cc/cdn/hy/11342421.flv#http://43.138.170.29:35455/huya/11342421
电Y06梁家辉,http://cfss.cc/cdn/hy/11342429.flv
电Y49_欢笑影院,http://cfss.cc/cdn/hy/11352894.flv
电Y65_死神来了,http://cfss.cc/cdn/hy/11352903.flv
电Y34沈腾,http://cfss.cc/cdn/hy/11601968.flv
电Y35沈腾,http://cfss.cc/cdn/hy/11601968.flv#http://43.138.170.29:35455/huya/11601968
