
📺剧集轮播标清频道,#genre#
剧J16-三国演义,https://live.metshop.top/yy/1354936241
剧J26-上海滩,https://live.metshop.top/yy/1382745184
剧J36-中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
剧J22-仙剑奇侠传,https://live.metshop.top/yy/1382749903
剧J03-倚天屠龙记,https://live.metshop.top/yy/1449856066
剧J24-公主嫁到,https://live.metshop.top/yy/1382736915
剧J27-大时代,https://live.metshop.top/yy/1354930891
剧J32-天道,https://live.metshop.top/yy/1382735574
剧J04-天龙八部,https://live.metshop.top/yy/1351814644
剧J14-宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
剧J19-宰相刘罗锅,https://live.metshop.top/yy/1353892468
剧J07-寻秦记,https://live.metshop.top/yy/1382749900
剧J08-封神榜,https://live.metshop.top/yy/1353426319
剧J01-射雕英雄传,https://live.metshop.top/yy/1354210357
剧J18-少年包青天,https://live.metshop.top/yy/38498680
剧J34-平凡岁月,https://live.metshop.top/yy/1382745117
剧J31-放羊的星星,https://live.metshop.top/yy/1355260662
剧J09-新白娘子传奇,https://live.metshop.top/yy/1354490667
剧J10-新白娘子传奇-修复版,https://live.metshop.top/yy/1354930969
剧J33-欢乐颂,https://live.metshop.top/yy/1382735624
剧J28-法证先锋,https://live.metshop.top/yy/1354930965
剧J12-济公,http://43.138.170.29:35455/yy/1355265814
剧J35-灌篮高手,https://live.metshop.top/yy/1382735626
剧J21-知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901
剧J02-神雕侠侣,https://live.metshop.top/yy/1351762426
剧J05-笑傲江湖,https://live.metshop.top/yy/1354936128
剧J15-红楼梦,https://live.metshop.top/yy/1382745084
剧J25-耀舞长安,https://live.metshop.top/yy/1382741640
剧J17-西游记后传,https://live.metshop.top/yy/1353392400
剧J23-金装四大才子,https://live.metshop.top/yy/1354926600
剧J11-钟馗传说,https://live.metshop.top/yy/1382736839
剧J29-陀枪师姐,https://live.metshop.top/yy/1382688521
剧J20-雍正王朝,https://live.metshop.top/yy/23206872
剧J30-飞虎之潜行极战,https://live.metshop.top/yy/1354932420
剧J13-魔幻手机,http://43.138.170.29:35455/yy/1382735544
剧J06-鹿鼎记,https://live.metshop.top/yy/28265277
