北京联通,#genre#
BRTV北京卫视,http://221.223.68.239:4022/rtp/239.3.1.241:8000
BRTV文艺,http://221.223.68.239:4022/rtp/239.3.1.242:8000
BRTV科教,http://221.223.68.239:4022/rtp/239.3.1.115:8000
BRTV影视,http://221.223.68.239:4022/rtp/239.3.1.158:8000
BRTV生活,http://221.223.68.239:4022/rtp/239.3.1.117:8000
BRTV财经,http://221.223.68.239:4022/rtp/239.3.1.116:8000
BRTV新闻,http://221.223.68.239:4022/rtp/239.3.1.159:8000
BRTV卡酷动画,http://221.223.68.239:4022/rtp/239.3.1.189:8000
BRTV体育休闲,http://221.223.68.239:4022/rtp/239.3.1.243:8000
BRTV国际频道,http://221.223.68.239:4022/rtp/239.3.1.235:8000
BRTV北京卫视,http://61.149.132.165:8182/rtp/239.3.1.241:8000
BRTV文艺,http://61.149.132.165:8182/rtp/239.3.1.242:8000
BRTV科教,http://61.149.132.165:8182/rtp/239.3.1.115:8000
BRTV影视,http://61.149.132.165:8182/rtp/239.3.1.158:8000
BRTV生活,http://61.149.132.165:8182/rtp/239.3.1.117:8000
BRTV财经,http://61.149.132.165:8182/rtp/239.3.1.116:8000
BRTV新闻,http://61.149.132.165:8182/rtp/239.3.1.159:8000
BRTV卡酷动画,http://61.149.132.165:8182/rtp/239.3.1.189:8000
BRTV体育休闲,http://61.149.132.165:8182/rtp/239.3.1.243:8000
BRTV国际频道,http://61.149.132.165:8182/rtp/239.3.1.235:8000
BRTV北京卫视,http://123.120.10.143:4022/rtp/239.3.1.241:8000
BRTV文艺,http://123.120.10.143:4022/rtp/239.3.1.242:8000
BRTV科教,http://123.120.10.143:4022/rtp/239.3.1.115:8000
BRTV影视,http://123.120.10.143:4022/rtp/239.3.1.158:8000
BRTV生活,http://123.120.10.143:4022/rtp/239.3.1.117:8000
BRTV财经,http://123.120.10.143:4022/rtp/239.3.1.116:8000
BRTV新闻,http://123.120.10.143:4022/rtp/239.3.1.159:8000
BRTV卡酷动画,http://123.120.10.143:4022/rtp/239.3.1.189:8000
BRTV体育休闲,http://123.120.10.143:4022/rtp/239.3.1.243:8000
BRTV国际频道,http://123.120.10.143:4022/rtp/239.3.1.235:8000
BRTV北京卫视,http://123.117.175.64:8118/rtp/239.3.1.241:8000
BRTV文艺,http://123.117.175.64:8118/rtp/239.3.1.242:8000
BRTV科教,http://123.117.175.64:8118/rtp/239.3.1.115:8000
BRTV影视,http://123.117.175.64:8118/rtp/239.3.1.158:8000
BRTV生活,http://123.117.175.64:8118/rtp/239.3.1.117:8000
BRTV财经,http://123.117.175.64:8118/rtp/239.3.1.116:8000
BRTV新闻,http://123.117.175.64:8118/rtp/239.3.1.159:8000
BRTV卡酷动画,http://123.117.175.64:8118/rtp/239.3.1.189:8000
BRTV体育休闲,http://123.117.175.64:8118/rtp/239.3.1.243:8000
BRTV国际频道,http://123.117.175.64:8118/rtp/239.3.1.235:8000
BRTV北京卫视,http://125.34.48.80:7077/rtp/239.3.1.241:8000
BRTV文艺,http://125.34.48.80:7077/rtp/239.3.1.242:8000
BRTV科教,http://125.34.48.80:7077/rtp/239.3.1.115:8000
BRTV影视,http://125.34.48.80:7077/rtp/239.3.1.158:8000
BRTV生活,http://125.34.48.80:7077/rtp/239.3.1.117:8000
BRTV财经,http://125.34.48.80:7077/rtp/239.3.1.116:8000
BRTV新闻,http://125.34.48.80:7077/rtp/239.3.1.159:8000
BRTV卡酷动画,http://125.34.48.80:7077/rtp/239.3.1.189:8000
BRTV体育休闲,http://125.34.48.80:7077/rtp/239.3.1.243:8000
BRTV国际频道,http://125.34.48.80:7077/rtp/239.3.1.235:8000
