陕西电信,#genre#
陕西1套,http://1.82.182.173:9999/rtp/239.111.205.28:5140
陕西2套,http://1.82.182.173:9999/rtp/239.111.205.42:5140
陕西3套,http://1.82.182.173:9999/rtp/239.111.205.98:5140
陕西4套,http://1.82.182.173:9999/rtp/239.111.205.99:5140
陕西5套,http://1.82.182.173:9999/rtp/239.111.205.100:5140
陕西6套,http://1.82.182.173:9999/rtp/239.111.205.101:5140
陕西7套,http://1.82.182.173:9999/rtp/239.111.205.36:5140
陕西8套,http://1.82.182.173:9999/rtp/239.111.205.102:5140

北京联通,#genre#
BRTV北京卫视,http://123.112.27.72:8686/rtp/239.3.1.241:8000
BRTV文艺,http://123.112.27.72:8686/rtp/239.3.1.242:8000
BRTV科教,http://123.112.27.72:8686/rtp/239.3.1.115:8000
BRTV影视,http://123.112.27.72:8686/rtp/239.3.1.158:8000
BRTV生活,http://123.112.27.72:8686/rtp/239.3.1.117:8000
BRTV财经,http://123.112.27.72:8686/rtp/239.3.1.116:8000
BRTV青年,http://123.112.27.72:8686/rtp/239.3.1.118:8000
BRTV新闻,http://123.112.27.72:8686/rtp/239.3.1.159:8000
BRTV卡酷动画,http://123.112.27.72:8686/rtp/239.3.1.189:8000
BRTV体育休闲,http://123.112.27.72:8686/rtp/239.3.1.243:8000
BRTV国际频道,http://123.112.27.72:8686/rtp/239.3.1.235:8000
BRTV北京卫视,http://123.121.1.11:4000/rtp/239.3.1.241:8000
BRTV文艺,http://123.121.1.11:4000/rtp/239.3.1.242:8000
BRTV科教,http://123.121.1.11:4000/rtp/239.3.1.115:8000
BRTV影视,http://123.121.1.11:4000/rtp/239.3.1.158:8000
BRTV生活,http://123.121.1.11:4000/rtp/239.3.1.117:8000
BRTV财经,http://123.121.1.11:4000/rtp/239.3.1.116:8000
BRTV青年,http://123.121.1.11:4000/rtp/239.3.1.118:8000
BRTV新闻,http://123.121.1.11:4000/rtp/239.3.1.159:8000
BRTV卡酷动画,http://123.121.1.11:4000/rtp/239.3.1.189:8000
BRTV体育休闲,http://123.121.1.11:4000/rtp/239.3.1.243:8000
BRTV国际频道,http://123.121.1.11:4000/rtp/239.3.1.235:8000

