天JA新闻HD,rtp://225.1.1.130:5002
天JB文艺HD,rtp://225.1.1.131:5002
天JC影视HD,rtp://225.1.1.149:5002
天JD都市HD,rtp://225.1.1.128:5002
天JE体育HD,rtp://225.1.1.122:5002
天JF科教HD,rtp://225.1.1.129:5002
天JG少儿HD,rtp://225.1.1.125:5002
天JH蓟州区,rtp://225.1.1.82:5002
天JI游戏风云,rtp://225.1.1.135:5002
天JJ欢笑剧场,rtp://225.1.1.139:5002
天JJ精彩影视,rtp://225.1.1.141:5002
天JJ生活时尚,rtp://225.1.1.143:5002
天JJ都市剧场,rtp://225.1.1.146:5002
天JK宝坻区,rtp://225.1.1.83:5002
天JK静海区,rtp://225.1.1.110:5002
天JK河东区,rtp://225.1.2.2:5002
天JK河西区,rtp://225.1.2.4:5002
天JK滨海新1,rtp://225.1.2.8:5002
天JK滨海新2,rtp://225.1.2.8:5002
