山DA教育,rtp://239.21.1.169:5002
山DB农科,rtp://239.21.1.183:5002
山DC齐鲁,rtp://239.21.1.134:5002
山DD少_儿,rtp://239.21.1.208:5002
山DD生活,rtp://239.21.1.175:5002
山DD体育,rtp://239.21.1.141:5002
山DD文旅,rtp://239.21.1.176:5002
山DD新闻,rtp://239.21.1.140:5002
山DD综艺,rtp://239.21.1.177:5002
山DE济南教育,rtp://239.21.1.133:5002
山DE烟台公共,rtp://239.21.1.117:5002
山DE烟台经济,rtp://239.21.1.205:5002
山DE烟台新闻,rtp://239.21.1.116:5002
山DE烟台影视,rtp://239.21.1.204:5002
山DF德州公共,rtp://239.21.1.76:5002
山DF德州新闻,rtp://239.21.1.75:5002
山DF齐河新闻,rtp://239.21.1.230:5002
山DG潍坊TV-1,rtp://239.21.1.77:5002
山DG潍坊TV-2,rtp://239.21.1.78:5002
山DG淄博公共,rtp://239.21.1.182:5002
山DG淄博新闻,rtp://239.21.1.84:5002
山DG淄博都市,rtp://239.21.1.83:5002
山DG淄博生活,rtp://239.21.1.109:5002
山DG滨州公共,rtp://239.21.1.119:5002
山DG滨州新闻,rtp://239.21.1.118:5002
山DZ财富天下,rtp://239.21.1.127:5002
山DH东营公共,rtp://239.21.1.82:5002
山DH东营新闻,rtp://239.21.1.81:5002
山DZ光影,rtp://239.21.1.131:5002
山DG菏泽1,rtp://239.21.1.103:5002
山DG菏泽2,rtp://239.21.2.18:5002
山DE济南都市,rtp://239.21.1.63:5002
山DE济南少_儿,rtp://239.21.1.68:5002
山DE济南生活,rtp://239.21.1.64:5002
山DE济南新闻,rtp://239.21.1.62:5002
山DE济南新闻,rtp://239.21.1.94:5002
山DE济南影视,rtp://239.21.1.65:5002
山DE济南娱乐,rtp://239.21.1.66:5002
山DK济宁公共,rtp://239.21.2.20:5002
山DK济宁教育,rtp://239.21.1.139:5002
山DK济宁综合,rtp://239.21.1.138:5002
山DK济宁综合,rtp://239.21.2.19:5002
山DK聊城公共,rtp://239.21.1.254:5002
山DK聊城综合,rtp://239.21.1.253:5002
山DZ墨宝,rtp://239.21.1.130:5002
山DE青岛1,rtp://239.21.1.69:5002
山DE青岛2,rtp://239.21.1.70:5002
山DE青岛3,rtp://239.21.1.71:5002
山DE青岛4,rtp://239.21.1.72:5002
山DE青岛5,rtp://239.21.1.73:5002
山DE青岛6,rtp://239.21.1.74:5002
