Y优优宝贝,rtp://226.0.2.119:8864
X纪实人文,rtp://226.0.2.193:9456
X乐游频道,rtp://226.0.2.77:8528
X金鹰纪实,rtp://226.0.2.194:9464
Y金鹰卡通,rtp://226.0.2.172:9288
Y动漫秀场,rtp://226.0.2.183:9376
Y金色学堂,rtp://226.0.2.182:9368
Y动漫秀场,rtp://226.0.2.183:9376
山XA九屏HD,rtp://226.0.2.197:9488
山XB黄河HD,rtp://226.0.2.235:9792
山XC经济HD,rtp://226.0.2.236:9800
山XC影视HD,rtp://226.0.2.237:9808
山XC社会HD,rtp://226.0.2.238:9816
山XD文体生活,rtp://226.0.2.16:8040
山XD东方财经,rtp://226.0.2.76:8520
山XD都市剧场,rtp://226.0.2.81:8560
山XD法治天地,rtp://226.0.2.83:8576
山XD生活时尚,rtp://226.0.2.84:8584
山XD武术世界,rtp://226.0.2.97:8688
山XD文物宝库,rtp://226.0.2.110:8792
山XE梨园频道,rtp://226.0.2.115:8832
山XF清徐,rtp://226.0.2.191:9440
山XF大同教育,rtp://226.0.2.232:9772
山XZ茶频道,rtp://226.0.2.213:9616
山XZ垂钓,rtp://226.0.2.214:9624
山XG影视,rtp://226.0.2.14:8024
山XG文体,rtp://226.0.2.190:9432
山XH朔州-1,rtp://226.0.2.185:9392
山XH朔州-2,rtp://226.0.2.186:9400
山XH孝义,rtp://226.0.2.189:9424
山XH古交,rtp://226.0.2.192:9448
山XD太原1,rtp://226.0.2.201:9520
山XD太原2,rtp://226.0.2.202:9528
山XD太原3,rtp://226.0.2.203:9536
山XD太原4,rtp://226.0.2.204:9544
山XD太原5,rtp://226.0.2.205:9552
山XJ阳曲,rtp://226.0.2.196:9480
山XJ阳泉新闻,rtp://226.0.2.233:9776
山XJ阳泉科教,rtp://226.0.2.234:9784
山XK书画频道,rtp://226.0.2.102:8728
山XK中国天气,rtp://226.0.2.103:8736
山XK环球奇观,rtp://226.0.2.111:8800
山XK老故事,rtp://226.0.2.112:8808
山XK国学频道,rtp://226.0.2.116:8840
山XK生态环境,rtp://226.0.2.120:8872
山XK天下收藏,rtp://226.0.2.124:8904
山XK环球旅游,rtp://226.0.2.127:8928
山XK家庭理财,rtp://226.0.2.129:8944
山XZ百姓健康,rtp://226.0.2.132:8968
山XZ车迷频道,rtp://226.0.2.138:9016
山XZ财富天下,rtp://226.0.2.139:9024
山XZ先锋乒羽,rtp://226.0.2.121:8880
