广X01新闻,rtp://239.81.0.248:4056
广X02影视,rtp://239.81.0.250:4056
广X03都市,rtp://239.81.0.247:4056
广X04综艺,rtp://239.81.0.214:4056
广X05_12tv,rtp://239.81.0.124:4056
广X06影院,rtp://239.81.0.100:4056
广X07玉林新闻,rtp://239.81.0.138:4056
广X08南宁都市,rtp://239.81.0.127:4056
广X09南宁公共,rtp://239.81.0.129:4056
广X10南宁新闻,rtp://239.81.0.126:4056
广X11南宁新闻,rtp://239.81.0.241:4056
广X12南宁影视,rtp://239.81.0.128:4056
广X13柳州新闻,rtp://239.81.0.134:4056
广X14北海新闻,rtp://239.81.0.136:4056
广X15桂林新闻,rtp://239.81.0.135:4056
广X16贺州新闻,rtp://239.81.0.137:4056
广X17电竞1,rtp://239.81.0.203:4056
广X18电竞2,rtp://239.81.0.201:4056
广X19动漫秀场,rtp://239.81.0.68:4056
广X20都市剧场,rtp://239.81.0.81:4056
广X21法治天地,rtp://239.81.0.79:4056
广X22IPV7,rtp://239.81.0.253:4056
广X23IPV8,rtp://239.81.0.208:4056
广X24热播剧场,rtp://239.81.0.85:4056
