
CCTV1,rtp://239.252.219.200:5140$江/西电信
CCTV2,rtp://239.252.220.183:5140$江/西电信
CCTV3,rtp://239.252.219.252:5140$江/西电信
CCTV3,rtp://239.252.220.193:5140$江/西电信
CCTV4,rtp://239.252.220.184:5140$江/西电信
CCTV5,rtp://239.252.219.198:5140$江/西电信
CCTV5,rtp://239.252.219.236:5140$江/西电信
CCTV5,rtp://239.252.219.72:5140$江/西电信
CCTV6,rtp://239.252.219.237:5140$江/西电信
CCTV6,rtp://239.252.220.195:5140$江/西电信
CCTV7,rtp://239.252.220.185:5140$江/西电信
CCTV8,rtp://239.252.219.253:5140$江/西电信
CCTV8,rtp://239.252.220.196:5140$江/西电信
CCTV9,rtp://239.252.220.186:5140$江/西电信
CCTV10,rtp://239.252.220.91:5140$江/西电信
CCTV11,rtp://239.252.219.78:5140$江/西电信
CCTV12,rtp://239.252.220.187:5140$江/西电信
CCTV13,rtp://239.252.219.139:5140$江/西电信
CCTV14,rtp://239.252.220.92:5140$江/西电信
CCTV15,rtp://239.252.219.79:5140$江/西电信
CCTV17,rtp://239.252.220.192:5140$江/西电信
CCTV4U,rtp://239.252.219.192:5140$江/西电信
CCTV4M,rtp://239.252.219.193:5140$江/西电信
CF文化精品,rtp://239.252.219.81:5140$江/西电信
CF央视台球,rtp://239.252.219.80:5140$江/西电信
CF风云音乐,rtp://239.252.219.87:5140$江/西电信
CF第一剧场,rtp://239.252.219.86:5140$江/西电信
CF风云剧场,rtp://239.252.219.89:5140$江/西电信
CF怀旧剧场,rtp://239.252.219.90:5140$江/西电信
CF女性时尚,rtp://239.252.219.94:5140$江/西电信
CF高尔夫网球,rtp://239.252.219.95:5140$江/西电信
CF风云足球,rtp://239.252.219.96:5140$江/西电信
CF电视指南,rtp://239.252.219.97:5140$江/西电信
CF世界地理,rtp://239.252.219.93:5140$江/西电信
CF兵器科技,rtp://239.252.219.98:5140$江/西电信
X求索记录,rtp://239.252.220.224:5140$江/西电信
江XA二套,rtp://239.252.220.238:5140
江XA三套,rtp://239.252.219.173:5140
江XA五套,rtp://239.252.220.102:5140
江XA六套,rtp://239.252.219.113:5140
江XA七套,rtp://239.252.220.100:5140
江XA教育,rtp://239.252.219.115:5140
江XB欢笑剧场,rtp://239.252.219.224:5140
江XB都市剧场,rtp://239.252.219.225:5140
江XB精彩影视,rtp://239.252.220.223:5140
江XC梨园频道,rtp://239.252.220.179:5140
江XC武术世界,rtp://239.252.220.180:5140
江XC文物宝库,rtp://239.252.220.158:5140
江XC青春动漫,rtp://239.252.220.122:5140
江XC百变课堂,rtp://239.252.220.123:5140
江XD热门剧场,rtp://239.252.220.124:5140
江XD谍战剧场,rtp://239.252.220.125:5140
江XD华语影院,rtp://239.252.220.126:5140
江XE星光影院,rtp://239.252.220.127:5140
江XE全球大片,rtp://239.252.220.128:5140
江XZ健康养生,rtp://239.252.220.129:5140
江XZ中国教育,rtp://239.252.220.198:5140
江XZ东方财经,rtp://239.252.219.57:5140
