CCTV1,rtp://rtp/225.1.4.73:1102$河N新联通1+
CCTV2,rtp://rtp/225.1.4.74:1103$河N新联通1+
CCTV3,rtp://rtp/225.1.4.158:1194$河N新联通1+
CCTV4,rtp://rtp/225.1.5.30:1333$河N新联通1+
CCTV5+,rtp://rtp/225.1.4.75:1104$河N新联通1+
CCTV5,rtp://rtp/225.1.4.159:1195$河N新联通1+
CCTV6,rtp://rtp/225.1.4.160:1196$河N新联通1+
CCTV7,rtp://rtp/225.1.4.76:1105$河N新联通1+
CCTV8,rtp://rtp/225.1.4.161:1197$河N新联通1+
CCTV9,rtp://rtp/225.1.4.77:1106$河N新联通1+
CCTV10,rtp://rtp/225.1.4.78:1107$河N新联通1+
CCTV11,rtp://rtp/225.1.4.215:1268$河N新联通1+
CCTV12,rtp://rtp/225.1.4.79:1108$河N新联通1+
CCTV13,rtp://rtp/225.1.4.113:1293$河N新联通1+
CCTV14,rtp://rtp/225.1.4.80:1109$河N新联通1+
CCTV15,rtp://rtp/225.1.4.216:1269$河N新联通1+
CCTV16,rtp://rtp/225.1.5.46:1356$河N新联通1+
CCTV17,rtp://rtp/225.1.4.226:2506$河N新联通1+
CETV1,rtp://rtp/225.1.4.173:1712$河N新联通1+
CETV2,rtp://rtp/225.1.4.165:1206$河N新联通1+
CETV4,rtp://rtp/225.1.4.171:1710$河N新联通1+

CHC动作电影,rtp://rtp/225.1.4.208:1261$河N新联通1
CHC高清电影,rtp://rtp/225.1.4.207:1260$河N新联通1+
CHC家庭影院,rtp://rtp/225.1.4.209:1262$$河N新联通1+

安徽卫视,rtp://rtp/225.1.4.87:1116$河N新联通1+
北京卫视,rtp://rtp/225.1.4.81:1110$河N新联通1+
东方卫视,rtp://rtp/225.1.4.85:1114$河N新联通1+
东南卫视,rtp://rtp/225.1.4.228:1274$河N新联通1+
广东卫视,rtp://rtp/225.1.4.166:1207$河N新联通1+
贵州卫视,rtp://rtp/225.1.4.122:1302$河N新联通1+
海南卫视,rtp://rtp/225.1.4.195:1310$河N新联通1+
河北卫视,rtp://rtp/225.1.4.123:1304$河N新联通1+
河南卫视,rtp://rtp/225.1.4.98:1127$河N新联通1+
黑龙江卫视,rtp://rtp/225.1.4.91:1120$河N新联通1+
湖北卫视,rtp://rtp/225.1.4.89:1118$河N新联通1+
湖南卫视,rtp://rtp/225.1.4.82:1111$河N新联通1+
吉林卫视,rtp://rtp/225.1.4.174:1309$河N新联通1+
江苏卫视,rtp://rtp/225.1.4.83:1112$河N新联通1+
江西卫视,rtp://rtp/225.1.4.139:1305$河N新联通1+
金鹰纪实,rtp://rtp/225.1.4.172:1711$河N新联通1+
辽宁卫视,rtp://rtp/225.1.4.167:1208$河N新联通1+
山东卫视,rtp://rtp/225.1.4.88:1117$河N新联通1+
深圳卫视,rtp://rtp/225.1.4.90:1119$河N新联通1+
四川卫视,rtp://rtp/225.1.4.151:1306$河N新联通1+
天津卫视,rtp://rtp/225.1.4.86:1115$河N新联通1+
云南卫视,rtp://rtp/225.1.4.152:1307$河N新联通1+
浙江卫视,rtp://rtp/225.1.4.84:1113$河N新联通1+
纪实人文,rtp://rtp/225.1.4.170:1222$河N新联通1+
国学频道,rtp://rtp/225.1.4.196:1311$河N新联通1+
重庆卫视,rtp://rtp/225.1.4.157:1308$河N新联通1+
金鹰卡通,rtp://rtp/225.1.4.49:1078$河N新联通1+
嘉佳卡通,rtp://rtp/225.1.4.92:1121$河N新联通1+
广西卫视,rtp://rtp/225.1.4.31:1060$河N新联通1+
兵团卫视,rtp://rtp/225.1.4.97:1126$河N新联通1+
甘肃卫视,rtp://rtp/225.1.4.42:1071$河N新联通1+
新疆卫视,rtp://rtp/225.1.4.47:1076$河N新联通1+
西藏卫视,rtp://rtp/225.1.4.46:1075$河N新联通1+
山西卫视,rtp://rtp/225.1.4.38:1067$河N新联通1+
陕西卫视,rtp://rtp/225.1.4.39:1068$河N新联通1+
内蒙古卫视,rtp://rtp/225.1.4.45:1074$河N新联通1+
宁夏卫视,rtp://rtp/225.1.4.43:1072$河N新联通1+
青海卫视,rtp://rtp/225.1.4.44:1073$河N新联通1+
三沙卫视,rtp://rtp/225.1.4.234:1280$河N新联通1+
厦门卫视,rtp://rtp/225.1.4.95:1124$河N新联通1+
卡酷少儿,rtp://rtp/225.1.4.48:1077$河N新联通1+

睛彩中原,rtp://rtp/225.1.4.163:1203$河N新联通1+
睛彩导视,rtp://rtp/225.1.4.194:1244$河N新联通1+
电视剧频道,rtp://rtp/225.1.4.55:1084$河N新联通1+
都市频道,rtp://rtp/225.1.4.52:1081$河N新联通1+
法治频道,rtp://rtp/225.1.4.54:1083$河N新联通1+
公共频道,rtp://rtp/225.1.4.58:1087$河N新联通1+
国际频道,rtp://rtp/225.1.4.102:1131$河N新联通1+
梨园频道,rtp://rtp/225.1.4.99:1128$河N新联通1+
民生频道,rtp://rtp/225.1.4.53:1082$河N新联通1+
文物宝库,rtp://rtp/225.1.4.100:1129$河N新联通1+
武术世界,rtp://rtp/225.1.4.101:1130$河N新联通1+
乡村频道,rtp://rtp/225.1.4.120:1149$河N新联通1+
新闻频道,rtp://rtp/225.1.4.56:1085$河N新联通1+
爱体育高清,rtp://rtp/225.1.4.168:1220$河N新联通1+
移动戏曲,rtp://rtp/225.1.4.206:1254$河N新联通1+
移动电视,rtp://rtp/225.1.5.40:1350$河N新联通1+
谍战剧场,rtp://rtp/225.1.4.185:1240$河N新联通1+
热播剧场,rtp://rtp/225.1.4.190:1239$河N新联通1+
法治,rtp://rtp/225.1.4.188:1237$河N新联通1+
相声小品,rtp://rtp/225.1.4.186:1235$河N新联通1+
IPV野外,rtp://rtp/225.1.4.187:1236$河N新联通1+
爱生活,rtp://rtp/225.1.4.176:1225$河N新联通1+
地理,rtp://rtp/225.1.4.183:1232$河N新联通1+
高网,rtp://rtp/225.1.4.180:1229$河N新联通1+
