CCTV1,rtp://233.50.201.118:5140$浙/江电信
CCTV2,rtp://233.50.201.119:5140$浙/江电信
CCTV3,rtp://233.50.201.196:5140$浙/江电信
CCTV5,rtp://233.50.201.197:5140$浙/江电信
CCTV5+,rtp://233.50.201.220:5140$浙/江电信
CCTV6,rtp://233.50.201.198:5140$浙/江电信
CCTV7,rtp://233.50.201.120:5140$浙/江电信
CCTV8,rtp://233.50.201.199:5140$浙/江电信
CCTV9,rtp://233.50.201.121:5140$浙/江电信
CCTV10,rtp://233.50.201.122:5140$浙/江电信
CCTV12,rtp://233.50.201.123:5140$浙/江电信
CCTV13,rtp://233.50.201.246:5140$浙/江电信
CCTV14,rtp://233.50.201.124:5140$浙/江电信
CCTV16,rtp://233.50.201.192:5140$浙/江电信
WA安徽卫视,rtp://233.50.201.113:5140$浙/江电信
WB北京卫视,rtp://233.50.201.107:5140$浙/江电信
WD东方卫视,rtp://233.50.201.125:5140$浙/江电信
WD东南卫视,rtp://233.50.201.146:5140$浙/江电信
WG广东卫视,rtp://233.50.201.102:5140$浙/江电信
WG贵州卫视,rtp://233.50.201.142:5140$浙/江电信
WH河北卫视,rtp://233.50.201.140:5140$浙/江电信
WH河南卫视,rtp://233.50.201.144:5140$浙/江电信
WH黑龙江卫视,rtp://233.50.201.115:5140$浙/江电信
WH湖北卫视,rtp://233.50.201.114:5140$浙/江电信
WH湖南卫视,rtp://233.50.201.103:5140$浙/江电信
WJ江苏卫视,rtp://233.50.201.106:5140$浙/江电信
WJ江西卫视,rtp://233.50.201.145:5140$浙/江电信
WL辽宁卫视,rtp://233.50.201.141:5140$浙/江电信
WS山东卫视,rtp://233.50.201.105:5140$浙/江电信
WS深圳卫视,rtp://233.50.201.101:5140$浙/江电信
WS四川卫视,rtp://233.50.201.139:5140$浙/江电信
WT天津卫视,rtp://233.50.201.104:5140$浙/江电信
WZ浙江卫视,rtp://233.50.201.100:5140$浙/江电信
WC重庆卫视,rtp://233.50.201.143:5140$浙/江电信
Y金色学堂,rtp://233.50.201.186:5140$浙/江电信
Y优优宝贝,rtp://233.50.202.24:5140$浙/江电信
兵团卫视,rtp://233.50.201.72:5140$浙/江电信
WG甘肃卫视,rtp://233.50.201.149:5140$浙/江电信
WG广西卫视,rtp://233.50.201.49:5140$浙/江电信
内蒙古卫视,rtp://233.50.201.148:5140$浙/江电信
宁夏卫视,rtp://233.50.201.57:5140$浙/江电信
WS山西卫视,rtp://233.50.201.51:5140$浙/江电信
WS陕西卫视,rtp://233.50.201.59:5140$浙/江电信
西藏卫视,rtp://233.50.201.70:5140$浙/江电信
WY云南卫视,rtp://233.50.201.46:5140$浙/江电信
浙JA宁波1,rtp://233.50.201.168:5140$浙/江电信
浙JA宁波2,rtp://233.50.201.178:5140$浙/江电信
浙JA宁波3,rtp://233.50.201.179:5140$浙/江电信
浙JA宁波4,rtp://233.50.201.180:5140$浙/江电信
浙JA宁波5,rtp://233.50.201.181:5140$浙/江电信
浙JB钱江,rtp://233.50.201.132:5140$浙/江电信
浙JB杭州综合,rtp://233.50.201.173:5140$浙/江电信
浙JB杭州明珠,rtp://233.50.201.174:5140$浙/江电信
浙JB杭州生活,rtp://233.50.201.175:5140$浙/江电信
浙JB杭州影视,rtp://233.50.201.176:5140$浙/江电信
浙JB杭州青少,rtp://233.50.201.177:5140$浙/江电信
浙JC经济HD,rtp://233.50.201.133:5140$浙/江电信
浙JC教育HD,rtp://233.50.201.134:5140$浙/江电信
浙JC民生HD,rtp://233.50.201.136:5140$浙/江电信
浙JA新闻HD,rtp://233.50.201.137:5140$浙/江电信
浙JA少儿HD,rtp://233.50.201.138:5140$浙/江电信
浙JD温州新闻,rtp://233.50.201.87:5140$浙/江电信
浙JD绍兴新闻,rtp://233.50.201.156:5140$浙/江电信
浙JD之江记录,rtp://233.50.202.25:5140$浙/江电信
浙JD湖州公共,rtp://233.50.201.158:5140$浙/江电信
浙JD金华新闻,rtp://233.50.201.161:5140$浙/江电信
浙JD丽水新闻,rtp://233.50.201.162:5140$浙/江电信
浙JD嘉兴新闻,rtp://233.50.201.163:5140$浙/江电信
浙JD桐乡新闻,rtp://233.50.201.169:5140$浙/江电信
浙JB杭州导视,rtp://233.50.201.182:5140$浙/江电信
浙JE之江记录,rtp://233.50.202.25:5140$浙/江电信
浙JE法制天地,rtp://233.50.201.191:5140$浙/江电信
