CCTV1,rtp://239.61.3.60:9878
CCTV2,rtp://239.61.2.174:9032
CCTV3,rtp://239.61.3.34:9722
CCTV4,rtp://239.61.2.206:9224
CCTV5,rtp://239.61.3.35:9728
CCTV5+,rtp://239.61.2.171:9014
CCTV6,rtp://239.61.3.36:9734
CCTV7,rtp://239.61.2.175:9038
CCTV8,rtp://239.61.3.37:9740
CCTV9,rtp://239.61.2.172:9020
CCTV10,rtp://239.61.2.176:9044
CCTV11,rtp://239.61.2.21:8120
CCTV12,rtp://239.61.2.177:9050
CCTV13,rtp://239.61.2.23:8132
CCTV14,rtp://239.61.2.178:9056
CCTV15,rtp://239.61.2.25:8144
CCTV17,rtp://239.61.3.9:9572
CETV1,rtp://239.61.2.167:8990
CETV2,rtp://239.61.3.6:9554
CETV4,rtp://239.61.3.15:9608
CHC动作电影,rtp://239.61.3.16:9616
IV凤凰卫视资讯台,rtp://239.61.2.183:9086
IV凤凰卫视中文台,rtp://239.61.2.184:9092
WD东方卫视,rtp://239.61.2.28:8162
WH湖南卫视,rtp://239.61.2.31:8180
WJ江苏卫视,rtp://239.61.2.30:8174
WZ浙江卫视,rtp://239.61.2.29:8168
WH河北卫视,rtp://239.61.2.57:8336
WG广东卫视,rtp://239.61.2.33:8192
WS山东卫视,rtp://239.61.2.119:8708
WH湖北卫视,rtp://239.61.2.120:8714
WS深圳卫视,rtp://239.61.3.46:9794
WH黑龙江卫视,rtp://239.61.2.34:8198
WG贵州卫视,rtp://239.61.2.159:8942
WA安徽卫视,rtp://239.61.2.248:9476
WT天津卫视,rtp://239.61.2.180:9068
WS四川卫视,rtp://239.61.2.251:9494
WJ江西卫视,rtp://239.61.2.182:9080
WL辽宁卫视,rtp://239.61.2.181:9074
WC重庆卫视,rtp://239.61.2.250:9488
WB北京卫视,rtp://239.61.2.32:8186
WY云南卫视,rtp://239.61.2.61:8360
WH河南卫视,rtp://239.61.2.59:8348
WH海南卫视,rtp://239.61.2.42:8246
WG广西卫视,rtp://239.61.2.48:8282
WQ青海卫视,rtp://239.61.2.60:8354
X纪实人文,rtp://239.61.2.165:8978
WJ吉林卫视,rtp://239.61.2.223:9326
WG甘肃卫视,rtp://239.61.2.225:9338
X金鹰纪实,rtp://239.61.3.7:9560
X乐游频道,rtp://239.61.2.147:8870
WS三沙卫视,rtp://239.61.3.10:9578
WD东南卫视,rtp://239.61.2.132:8708
WH海峡卫视,rtp://239.61.2.151:8894
内蒙古卫视,rtp://239.61.2.226:9344
新疆卫视,rtp://239.61.2.227:9350
兵团卫视,rtp://239.61.2.228:9356
西藏卫视,rtp://239.61.2.229:9362
Y动漫秀场,rtp://239.61.2.148:8876
Y金色学堂,rtp://239.61.2.78:8462
福JA综合,rtp://239.61.3.4:9542
福JA综合,rtp://239.61.2.1:8000
福JA公共频道,rtp://239.61.2.3:8012
福JA新闻,rtp://239.61.2.4:8018
福JA电视剧,rtp://239.61.2.5:8024
福JA旅游,rtp://239.61.2.6:8030
福JA经济生活,rtp://239.61.2.7:8036
福JA体育,rtp://239.61.2.160:8948
福JA少儿,rtp://239.61.2.9:8048
福JA教育频道,rtp://239.61.2.173:9026
福JB厦门1套,rtp://239.61.3.55:9848
福JB厦门2套,rtp://239.61.3.56:9854
福JC欢笑剧场,rtp://239.61.2.146:8864
福JC都市剧场,rtp://239.61.2.149:8882
福JC游戏风云,rtp://239.61.2.145:8858
福JC东方财经,rtp://239.61.2.76:8450
福JC生活时尚,rtp://239.61.2.141:8834
福JC梨园频道,rtp://239.61.3.19:9634
福JC文物宝库,rtp://239.61.3.21:9646
福JC武术世界,rtp://239.61.3.22:9652
