CCTV1-综合,rtp://239.112.205.59:5140
CCTV2-财经,rtp://239.112.205.78:5140
CCTV3-综艺,rtp://239.112.205.221:5140
CCTV4-中文国际,rtp://239.112.205.202:5140
CCTV5-体育,rtp://239.112.205.222:5140
CCTV6-电影,rtp://239.112.205.223:5140
CCTV7-国防军事,rtp://239.112.205.83:5140
CCTV8-电视剧,rtp://239.112.205.224:5140
CCTV9-纪录,rtp://239.112.205.85:5140
CCTV10-科教,rtp://239.112.205.86:5140
CCTV11-戏曲,rtp://239.112.205.213:5140
CCTV12-社会与法,rtp://239.112.205.88:5140
CCTV13-新闻,rtp://239.111.205.53:5140
CCTV14-少儿,rtp://239.112.205.91:5140
CCTV15-音乐,rtp://239.112.205.214:5140
CCTV16-奥林匹克频道,rtp://239.111.205.134:5140
CCTV17-农村农业,rtp://239.112.205.211:5140
CCTV5+-体育赛事,rtp://239.111.205.13:5140
CCTV-第一剧场,rtp://239.111.205.65:5140
CCTV-风云剧场,rtp://239.111.205.66:5140
CCTV-怀旧剧场,rtp://239.111.205.67:5140
CCTV-风云足球,rtp://239.111.205.68:5140
CCTV-风云音乐,rtp://239.111.205.69:5140
CCTV-央视台球,rtp://239.111.205.70:5140
CCTV-世界地理,rtp://239.111.205.71:5140
CCTV-女性时尚,rtp://239.111.205.72:5140
CCTV-高尔夫?网球,rtp://239.111.205.73:5140
CCTV-兵器科技,rtp://239.111.205.74:5140
CCTV-央视文化精品,rtp://239.111.205.75:5140
CCTV-电视指南,rtp://239.111.205.76:5140
CGTN,rtp://239.111.205.32:5140
CGTN西班牙语,rtp://239.111.205.33:5140
CGTN法语,rtp://239.111.205.34:5140
湖南卫视,rtp://239.109.205.163:9002
浙江卫视,rtp://239.109.205.120:8896
江苏卫视,rtp://239.109.205.119:8368
北京卫视,rtp://239.109.205.162:8898
东方卫视,rtp://239.109.205.121:8904
安徽卫视,rtp://239.110.205.11:9790
广东卫视,rtp://239.109.205.188:9610
深圳卫视,rtp://239.109.205.189:9602
辽宁卫视,rtp://239.110.205.12:9794
山东卫视,rtp://239.109.205.191:9606
天津卫视,rtp://239.110.205.23:9838
重庆卫视,rtp://239.109.205.70:8496
东南卫视,rtp://239.109.205.177:9626
甘肃卫视-标清,rtp://239.109.205.125:8936
广西卫视-标清,rtp://239.109.205.39:8240
贵州卫视,rtp://239.109.205.139:9024
河北卫视,rtp://239.109.205.158:9106
黑龙江卫视,rtp://239.109.205.190:9604
河南卫视,rtp://239.109.205.140:9026
湖北卫视,rtp://239.109.205.165:9006
江西卫视,rtp://239.109.205.96:8704
吉林卫视,rtp://239.109.205.115:8856
内蒙古卫视-标清,rtp://239.109.205.46:8304
宁夏卫视-标清,rtp://239.109.205.126:8944
山西卫视-标清,rtp://239.109.205.26:8136
陕西卫视,rtp://239.109.205.66:8464
四川卫视,rtp://239.110.205.18:9818
新疆卫视-标清,rtp://239.110.205.13:9798
云南卫视-标清,rtp://239.110.205.15:9806
青海卫视-标清,rtp://239.109.205.44:8288
兵团卫视-标清,rtp://239.109.205.86:8624
厦门卫视-标清,rtp://239.110.205.21:9830
金鹰卡通-标清,rtp://239.109.205.42:8272
西藏卫视-标清,rtp://239.109.205.45:8296
教育1台,rtp://239.109.205.78:8560
教育2台-标清,rtp://239.109.205.48:8320
教育4台-标清,rtp://239.111.205.169:5140
CHC动作电影,rtp://239.110.205.6:9770
CHC家庭影院,rtp://239.109.205.104:8768
CHC高清电影,rtp://239.109.205.97:8712
爱上4K,rtp://239.109.205.53:8360
金鹰纪实,rtp://239.109.205.59:8408
游戏风云,rtp://239.109.205.195:9642
纪实人文,rtp://239.109.205.52:8352
全纪实,rtp://239.109.205.156:9102
欢笑剧场,rtp://239.110.205.36:9850
MAX极速汽车,rtp://239.111.205.185:5140
圆点生活,rtp://239.109.205.192:9608
曲艺大观,rtp://239.110.205.46:9906
悦美生活,rtp://239.110.205.61:9970
圆点导视,rtp://239.110.205.51:9930
都市剧场,rtp://239.110.205.51:9930
体育竞技,rtp://239.111.205.54:5140
陕西1套-新闻资讯,rtp://239.111.205.28:5140
陕西2套-都市青春,rtp://239.111.205.42:5140
陕西3套-生活,rtp://239.111.205.98:5140
陕西4套-影视,rtp://239.111.205.99:5140
陕西5套-公共,rtp://239.111.205.100:5140
陕西6套-乐家购物,rtp://239.111.205.101:5140
陕西7套-体育休闲,rtp://239.111.205.36:5140
陕西8套-西部电影,rtp://239.111.205.102:5140
西安1套,rtp://239.109.205.130:8976
西安2套,rtp://239.109.205.131:8984
西安3套,rtp://239.110.205.38:9858
西安4套,rtp://239.110.205.39:9862
陕视直播,rtp://239.112.205.217:5140
睛彩三秦,rtp://239.109.205.193:9628
农林卫视,rtp://239.109.205.133:8998
家有购物,rtp://239.110.205.31:9788
好享购物,rtp://239.110.205.32:9792
三秦好购,rtp://239.110.205.33:9796
丝路频道,rtp://239.110.205.40:9866
西安教育台,rtp://239.110.205.24:9842
西教一台,rtp://239.112.205.243:5140
西教二台,rtp://239.112.205.242:5140
西教三台,rtp://239.112.205.241:5140
咸阳综合,rtp://239.112.205.141:5140
渭南新闻,rtp://239.111.205.19:5140
延安一套,rtp://239.112.205.169:5140
宝鸡一套,rtp://239.112.205.143:5140
宝鸡二套,rtp://239.112.205.144:5140
榆林一套,rtp://239.112.205.177:5140
榆林二套,rtp://239.111.205.249:5140
铜川一套,rtp://239.111.205.29:5140
汉中一套,rtp://239.112.205.215:5140
安康一套,rtp://239.112.205.216:5140
商洛一套,rtp://239.112.205.189:5140
