
📺中国咉视卫视hd,#genre#
CCTV1,http://joyznm.x3322.net:20000/rtp/239.3.1.129:8008$北/京联通3+
CCTV1,http://ngwy.9966.org:8888/rtp/239.3.1.129:8008$北/京联通0+
CCTV1,http://tnvcn.com:8012/rtp/239.3.1.129:8008$北/京联通1+
CCTV1,http://www.lizhinas.top:8688/rtp/239.252.219.200:5140$江/西电信3+
CCTV1,http://171.216.83.196:9090/rtp/239.93.0.184:5140$四/川电信
CCTV1,http://117.28.112.210:8888/rtp/239.61.3.60:9878
CCTV1,http://111.73.20.131:8688/rtp/239.252.219.200:5140$江/西电信
CCTV1,http://106.119.249.67:8888/rtp/239.254.200.45:8008$河\北电信
CCTV1,http://1.83.124.191:8888/rtp/239.112.205.59:5140$陕\西电信
CCTV2,http://joyznm.x3322.net:20000/rtp/239.3.1.60:8084$北/京联通3+
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8$
CCTV2,http://ngwy.9966.org:8888/rtp/239.3.1.60:8084$北/京联通0+
CCTV2,http://tnvcn.com:8012/rtp/239.3.1.60:8084$北/京联通1+
CCTV2,http://www.lizhinas.top:8688/rtp/239.252.220.183:5140$江/西电信3+
CCTV2,http://171.216.83.196:9090/rtp/239.93.1.23:6000$四/川电信
CCTV2,http://117.28.112.210:8888/rtp/239.61.2.174:9032
CCTV2,http://111.73.20.131:8688/rtp/239.252.220.183:5140$江/西电信
CCTV2,http://106.119.249.67:8888/rtp/239.254.200.158:6000$河\北电信
CCTV2,http://1.83.124.191:8888/rtp/239.112.205.78:5140$陕\西电信
CCTV3,http://joyznm.x3322.net:20000/rtp/239.3.1.172:8001$北/京联通3+
CCTV3,http://ngwy.9966.org:8888/rtp/239.3.1.172:8001$北/京联通0+
CCTV3,http://tnvcn.com:8012/rtp/239.3.1.172:8001$北/京联通1+
CCTV3,http://www.lizhinas.top:8688/rtp/239.252.219.252:5140$江/西电信3+
