央视(电信),#genre#
CCTV-1,http://113.90.157.29:6006/udp/239.77.1.20:5146
CCTV-1,http://14.212.138.50:5555/udp/239.77.1.20:5146
CCTV-1,http://113.101.28.221:8889/udp/239.77.1.20:5146
CCTV-1,http://113.94.123.97:19888/udp/239.77.1.20:5146
CCTV-1,http://183.6.69.75:4001/udp/239.77.1.20:5146
CCTV-1,http://14.145.210.68:6006/udp/239.77.1.20:5146
CCTV-1,http://106.110.45.11:4001/udp/239.77.1.20:5146
CCTV-1,http://121.32.204.50:9999/udp/239.77.1.20:5146
CCTV-2,http://113.90.157.29:6006/udp/239.77.1.158:5146
CCTV-2,http://14.212.138.50:5555/udp/239.77.1.158:5146
CCTV-2,http://113.101.28.221:8889/udp/239.77.1.158:5146
CCTV-2,http://113.94.123.97:19888/udp/239.77.1.158:5146
CCTV-2,http://183.6.69.75:4001/udp/239.77.1.158:5146
CCTV-2,http://14.145.210.68:6006/udp/239.77.1.158:5146
CCTV-2,http://106.110.45.11:4001/udp/239.77.1.158:5146
CCTV-2,http://121.32.204.50:9999/udp/239.77.1.158:5146
CCTV-3,http://113.90.157.29:6006/udp/239.77.0.169:5146
CCTV-3,http://14.212.138.50:5555/udp/239.77.0.169:5146
CCTV-3,http://113.101.28.221:8889/udp/239.77.0.169:5146
CCTV-3,http://113.94.123.97:19888/udp/239.77.0.169:5146
CCTV-3,http://183.6.69.75:4001/udp/239.77.0.169:5146
CCTV-3,http://14.145.210.68:6006/udp/239.77.0.169:5146
CCTV-3,http://106.110.45.11:4001/udp/239.77.0.169:5146
CCTV-3,http://121.32.204.50:9999/udp/239.77.0.169:5146
CCTV-4,http://113.90.157.29:6006/udp/239.77.1.163:5146
CCTV-4,http://14.212.138.50:5555/udp/239.77.1.163:5146
CCTV-4,http://113.101.28.221:8889/udp/239.77.1.163:5146
CCTV-4,http://113.94.123.97:19888/udp/239.77.1.163:5146
CCTV-4,http://183.6.69.75:4001/udp/239.77.1.163:5146
CCTV-4,http://14.145.210.68:6006/udp/239.77.1.163:5146
CCTV-4,http://106.110.45.11:4001/udp/239.77.1.163:5146
CCTV-4,http://121.32.204.50:9999/udp/239.77.1.163:5146
CCTV-5,http://113.90.157.29:6006/udp/239.77.0.170:5146
CCTV-5,http://14.212.138.50:5555/udp/239.77.0.170:5146
CCTV-5,http://113.101.28.221:8889/udp/239.77.0.170:5146
CCTV-5,http://113.94.123.97:19888/udp/239.77.0.170:5146
CCTV-5,http://183.6.69.75:4001/udp/239.77.0.170:5146
CCTV-5,http://14.145.210.68:6006/udp/239.77.0.170:5146
CCTV-5,http://106.110.45.11:4001/udp/239.77.0.170:5146
CCTV-5,http://121.32.204.50:9999/udp/239.77.0.170:5146
CCTV-5+,http://113.90.157.29:6006/udp/239.77.0.87:5146
CCTV-5+,http://14.212.138.50:5555/udp/239.77.0.87:5146
CCTV-5+,http://113.101.28.221:8889/udp/239.77.0.87:5146
CCTV-5+,http://113.94.123.97:19888/udp/239.77.0.87:5146
CCTV-5+,http://183.6.69.75:4001/udp/239.77.0.87:5146
CCTV-5+,http://14.145.210.68:6006/udp/239.77.0.87:5146
CCTV-5+,http://106.110.45.11:4001/udp/239.77.0.87:5146
CCTV-5+,http://121.32.204.50:9999/udp/239.77.0.87:5146
CCTV-6,http://113.90.157.29:6006/udp/239.77.0.171:5146
CCTV-6,http://14.212.138.50:5555/udp/239.77.0.171:5146
CCTV-6,http://113.101.28.221:8889/udp/239.77.0.171:5146
CCTV-6,http://113.94.123.97:19888/udp/239.77.0.171:5146
CCTV-6,http://183.6.69.75:4001/udp/239.77.0.171:5146
CCTV-6,http://14.145.210.68:6006/udp/239.77.0.171:5146
CCTV-6,http://106.110.45.11:4001/udp/239.77.0.171:5146
CCTV-6,http://121.32.204.50:9999/udp/239.77.0.171:5146
CCTV-7,http://113.90.157.29:6006/udp/239.77.1.159:5146
CCTV-7,http://14.212.138.50:5555/udp/239.77.1.159:5146
CCTV-7,http://113.101.28.221:8889/udp/239.77.1.159:5146
CCTV-7,http://113.94.123.97:19888/udp/239.77.1.159:5146
CCTV-7,http://183.6.69.75:4001/udp/239.77.1.159:5146
CCTV-7,http://14.145.210.68:6006/udp/239.77.1.159:5146
CCTV-7,http://106.110.45.11:4001/udp/239.77.1.159:5146
CCTV-7,http://121.32.204.50:9999/udp/239.77.1.159:5146
CCTV-8,http://113.90.157.29:6006/udp/239.77.0.172:5146
CCTV-8,http://14.212.138.50:5555/udp/239.77.0.172:5146
CCTV-8,http://113.101.28.221:8889/udp/239.77.0.172:5146
CCTV-8,http://113.94.123.97:19888/udp/239.77.0.172:5146
CCTV-8,http://183.6.69.75:4001/udp/239.77.0.172:5146
CCTV-8,http://14.145.210.68:6006/udp/239.77.0.172:5146
CCTV-8,http://106.110.45.11:4001/udp/239.77.0.172:5146
CCTV-8,http://121.32.204.50:9999/udp/239.77.0.172:5146
CCTV-9,http://113.90.157.29:6006/udp/239.77.1.160:5146
CCTV-9,http://14.212.138.50:5555/udp/239.77.1.160:5146
CCTV-9,http://113.101.28.221:8889/udp/239.77.1.160:5146
CCTV-9,http://113.94.123.97:19888/udp/239.77.1.160:5146
CCTV-9,http://183.6.69.75:4001/udp/239.77.1.160:5146
CCTV-9,http://14.145.210.68:6006/udp/239.77.1.160:5146
CCTV-9,http://106.110.45.11:4001/udp/239.77.1.160:5146
CCTV-9,http://121.32.204.50:9999/udp/239.77.1.160:5146
CCTV-10,http://113.90.157.29:6006/udp/239.77.1.113:5146
CCTV-10,http://14.212.138.50:5555/udp/239.77.1.113:5146
CCTV-10,http://113.101.28.221:8889/udp/239.77.1.113:5146
CCTV-10,http://113.94.123.97:19888/udp/239.77.1.113:5146
CCTV-10,http://183.6.69.75:4001/udp/239.77.1.113:5146
CCTV-10,http://14.145.210.68:6006/udp/239.77.1.113:5146
CCTV-10,http://106.110.45.11:4001/udp/239.77.1.113:5146
CCTV-10,http://121.32.204.50:9999/udp/239.77.1.113:5146
CCTV-11,http://113.90.157.29:6006/udp/239.77.1.238:5146
CCTV-11,http://14.212.138.50:5555/udp/239.77.1.238:5146
CCTV-11,http://113.101.28.221:8889/udp/239.77.1.238:5146
CCTV-11,http://113.94.123.97:19888/udp/239.77.1.238:5146
CCTV-11,http://183.6.69.75:4001/udp/239.77.1.238:5146
CCTV-11,http://14.145.210.68:6006/udp/239.77.1.238:5146
CCTV-11,http://106.110.45.11:4001/udp/239.77.1.238:5146
CCTV-11,http://121.32.204.50:9999/udp/239.77.1.238:5146
CCTV-12,http://113.90.157.29:6006/udp/239.77.1.10:5146
CCTV-12,http://14.212.138.50:5555/udp/239.77.1.10:5146
CCTV-12,http://113.101.28.221:8889/udp/239.77.1.10:5146
CCTV-12,http://113.94.123.97:19888/udp/239.77.1.10:5146
CCTV-12,http://183.6.69.75:4001/udp/239.77.1.10:5146
CCTV-12,http://14.145.210.68:6006/udp/239.77.1.10:5146
CCTV-12,http://106.110.45.11:4001/udp/239.77.1.10:5146
CCTV-12,http://121.32.204.50:9999/udp/239.77.1.10:5146
CCTV-13,http://113.90.157.29:6006/udp/239.77.0.188:5146
CCTV-13,http://14.212.138.50:5555/udp/239.77.0.188:5146
CCTV-13,http://113.101.28.221:8889/udp/239.77.0.188:5146
CCTV-13,http://113.94.123.97:19888/udp/239.77.0.188:5146
CCTV-13,http://183.6.69.75:4001/udp/239.77.0.188:5146
CCTV-13,http://14.145.210.68:6006/udp/239.77.0.188:5146
CCTV-13,http://106.110.45.11:4001/udp/239.77.0.188:5146
CCTV-13,http://121.32.204.50:9999/udp/239.77.0.188:5146
CCTV-14,http://113.90.157.29:6006/udp/239.77.1.161:5146
CCTV-14,http://14.212.138.50:5555/udp/239.77.1.161:5146
CCTV-14,http://113.101.28.221:8889/udp/239.77.1.161:5146
CCTV-14,http://113.94.123.97:19888/udp/239.77.1.161:5146
CCTV-14,http://183.6.69.75:4001/udp/239.77.1.161:5146
CCTV-14,http://14.145.210.68:6006/udp/239.77.1.161:5146
CCTV-14,http://106.110.45.11:4001/udp/239.77.1.161:5146
CCTV-14,http://121.32.204.50:9999/udp/239.77.1.161:5146
CCTV-15,http://113.90.157.29:6006/udp/239.77.1.239:5146
CCTV-15,http://14.212.138.50:5555/udp/239.77.1.239:5146
CCTV-15,http://113.101.28.221:8889/udp/239.77.1.239:5146
CCTV-15,http://113.94.123.97:19888/udp/239.77.1.239:5146
CCTV-15,http://183.6.69.75:4001/udp/239.77.1.239:5146
CCTV-15,http://14.145.210.68:6006/udp/239.77.1.239:5146
CCTV-15,http://106.110.45.11:4001/udp/239.77.1.239:5146
CCTV-15,http://121.32.204.50:9999/udp/239.77.1.239:5146
CCTV-16,http://113.90.157.29:6006/udp/239.77.0.165:5146
CCTV-16,http://14.212.138.50:5555/udp/239.77.0.165:5146
CCTV-16,http://113.101.28.221:8889/udp/239.77.0.165:5146
CCTV-16,http://113.94.123.97:19888/udp/239.77.0.165:5146
CCTV-16,http://183.6.69.75:4001/udp/239.77.0.165:5146
CCTV-16,http://14.145.210.68:6006/udp/239.77.0.165:5146
CCTV-16,http://106.110.45.11:4001/udp/239.77.0.165:5146
CCTV-16,http://121.32.204.50:9999/udp/239.77.0.165:5146
CCTV-17,http://113.90.157.29:6006/udp/239.77.1.121:5146
CCTV-17,http://14.212.138.50:5555/udp/239.77.1.121:5146
CCTV-17,http://113.101.28.221:8889/udp/239.77.1.121:5146
CCTV-17,http://113.94.123.97:19888/udp/239.77.1.121:5146
CCTV-17,http://183.6.69.75:4001/udp/239.77.1.121:5146
CCTV-17,http://14.145.210.68:6006/udp/239.77.1.121:5146
CCTV-17,http://106.110.45.11:4001/udp/239.77.1.121:5146
CCTV-17,http://121.32.204.50:9999/udp/239.77.1.121:5146
卫视(电信),#genre#
广东卫视,http://113.90.157.29:6006/udp/239.77.1.19:5146
广东卫视,http://14.212.138.50:5555/udp/239.77.1.19:5146
广东卫视,http://113.101.28.221:8889/udp/239.77.1.19:5146
广东卫视,http://113.94.123.97:19888/udp/239.77.1.19:5146
广东卫视,http://183.6.69.75:4001/udp/239.77.1.19:5146
广东卫视,http://14.145.210.68:6006/udp/239.77.1.19:5146
广东卫视,http://106.110.45.11:4001/udp/239.77.1.19:5146
广东卫视,http://121.32.204.50:9999/udp/239.77.1.19:5146
大湾区卫视,http://113.90.157.29:6006/udp/239.77.0.215:5146
大湾区卫视,http://14.212.138.50:5555/udp/239.77.0.215:5146
大湾区卫视,http://113.101.28.221:8889/udp/239.77.0.215:5146
大湾区卫视,http://113.94.123.97:19888/udp/239.77.0.215:5146
大湾区卫视,http://183.6.69.75:4001/udp/239.77.0.215:5146
大湾区卫视,http://14.145.210.68:6006/udp/239.77.0.215:5146
大湾区卫视,http://106.110.45.11:4001/udp/239.77.0.215:5146
大湾区卫视,http://121.32.204.50:9999/udp/239.77.0.215:5146
深圳卫视,http://113.90.157.29:6006/udp/239.77.1.21:5146
深圳卫视,http://14.212.138.50:5555/udp/239.77.1.21:5146
深圳卫视,http://113.101.28.221:8889/udp/239.77.1.21:5146
深圳卫视,http://113.94.123.97:19888/udp/239.77.1.21:5146
深圳卫视,http://183.6.69.75:4001/udp/239.77.1.21:5146
深圳卫视,http://14.145.210.68:6006/udp/239.77.1.21:5146
深圳卫视,http://106.110.45.11:4001/udp/239.77.1.21:5146
深圳卫视,http://121.32.204.50:9999/udp/239.77.1.21:5146
湖南卫视,http://113.90.157.29:6006/udp/239.77.1.5:5146
湖南卫视,http://14.212.138.50:5555/udp/239.77.1.5:5146
湖南卫视,http://113.101.28.221:8889/udp/239.77.1.5:5146
湖南卫视,http://113.94.123.97:19888/udp/239.77.1.5:5146
湖南卫视,http://183.6.69.75:4001/udp/239.77.1.5:5146
湖南卫视,http://14.145.210.68:6006/udp/239.77.1.5:5146
湖南卫视,http://106.110.45.11:4001/udp/239.77.1.5:5146
湖南卫视,http://121.32.204.50:9999/udp/239.77.1.5:5146
浙江卫视,http://113.90.157.29:6006/udp/239.77.1.33:5146
浙江卫视,http://14.212.138.50:5555/udp/239.77.1.33:5146
浙江卫视,http://113.101.28.221:8889/udp/239.77.1.33:5146
浙江卫视,http://113.94.123.97:19888/udp/239.77.1.33:5146
浙江卫视,http://183.6.69.75:4001/udp/239.77.1.33:5146
浙江卫视,http://14.145.210.68:6006/udp/239.77.1.33:5146
浙江卫视,http://106.110.45.11:4001/udp/239.77.1.33:5146
浙江卫视,http://121.32.204.50:9999/udp/239.77.1.33:5146
江苏卫视,http://113.90.157.29:6006/udp/239.77.1.18:5146
江苏卫视,http://14.212.138.50:5555/udp/239.77.1.18:5146
江苏卫视,http://113.101.28.221:8889/udp/239.77.1.18:5146
江苏卫视,http://113.94.123.97:19888/udp/239.77.1.18:5146
江苏卫视,http://183.6.69.75:4001/udp/239.77.1.18:5146
江苏卫视,http://14.145.210.68:6006/udp/239.77.1.18:5146
江苏卫视,http://106.110.45.11:4001/udp/239.77.1.18:5146
江苏卫视,http://121.32.204.50:9999/udp/239.77.1.18:5146
东方卫视,http://113.90.157.29:6006/udp/239.77.1.218:5146
东方卫视,http://14.212.138.50:5555/udp/239.77.1.218:5146
东方卫视,http://113.101.28.221:8889/udp/239.77.1.218:5146
东方卫视,http://113.94.123.97:19888/udp/239.77.1.218:5146
东方卫视,http://183.6.69.75:4001/udp/239.77.1.218:5146
东方卫视,http://14.145.210.68:6006/udp/239.77.1.218:5146
东方卫视,http://106.110.45.11:4001/udp/239.77.1.218:5146
东方卫视,http://121.32.204.50:9999/udp/239.77.1.218:5146
安徽卫视,http://113.90.157.29:6006/udp/239.77.1.92:5146
安徽卫视,http://14.212.138.50:5555/udp/239.77.1.92:5146
安徽卫视,http://113.101.28.221:8889/udp/239.77.1.92:5146
安徽卫视,http://113.94.123.97:19888/udp/239.77.1.92:5146
安徽卫视,http://183.6.69.75:4001/udp/239.77.1.92:5146
安徽卫视,http://14.145.210.68:6006/udp/239.77.1.92:5146
安徽卫视,http://106.110.45.11:4001/udp/239.77.1.92:5146
安徽卫视,http://121.32.204.50:9999/udp/239.77.1.92:5146
北京卫视,http://113.90.157.29:6006/udp/239.77.1.4:5146
北京卫视,http://14.212.138.50:5555/udp/239.77.1.4:5146
北京卫视,http://113.101.28.221:8889/udp/239.77.1.4:5146
北京卫视,http://113.94.123.97:19888/udp/239.77.1.4:5146
北京卫视,http://183.6.69.75:4001/udp/239.77.1.4:5146
北京卫视,http://14.145.210.68:6006/udp/239.77.1.4:5146
北京卫视,http://106.110.45.11:4001/udp/239.77.1.4:5146
北京卫视,http://121.32.204.50:9999/udp/239.77.1.4:5146
天津卫视,http://113.90.157.29:6006/udp/239.77.1.141:5146
天津卫视,http://14.212.138.50:5555/udp/239.77.1.141:5146
天津卫视,http://113.101.28.221:8889/udp/239.77.1.141:5146
天津卫视,http://113.94.123.97:19888/udp/239.77.1.141:5146
天津卫视,http://183.6.69.75:4001/udp/239.77.1.141:5146
天津卫视,http://14.145.210.68:6006/udp/239.77.1.141:5146
天津卫视,http://106.110.45.11:4001/udp/239.77.1.141:5146
天津卫视,http://121.32.204.50:9999/udp/239.77.1.141:5146
山东卫视,http://113.90.157.29:6006/udp/239.77.1.142:5146
山东卫视,http://14.212.138.50:5555/udp/239.77.1.142:5146
山东卫视,http://113.101.28.221:8889/udp/239.77.1.142:5146
山东卫视,http://113.94.123.97:19888/udp/239.77.1.142:5146
山东卫视,http://183.6.69.75:4001/udp/239.77.1.142:5146
山东卫视,http://14.145.210.68:6006/udp/239.77.1.142:5146
山东卫视,http://106.110.45.11:4001/udp/239.77.1.142:5146
山东卫视,http://121.32.204.50:9999/udp/239.77.1.142:5146
江西卫视,http://113.90.157.29:6006/udp/239.77.1.219:5146
江西卫视,http://14.212.138.50:5555/udp/239.77.1.219:5146
江西卫视,http://113.101.28.221:8889/udp/239.77.1.219:5146
江西卫视,http://113.94.123.97:19888/udp/239.77.1.219:5146
江西卫视,http://183.6.69.75:4001/udp/239.77.1.219:5146
江西卫视,http://14.145.210.68:6006/udp/239.77.1.219:5146
江西卫视,http://106.110.45.11:4001/udp/239.77.1.219:5146
江西卫视,http://121.32.204.50:9999/udp/239.77.1.219:5146
湖北卫视,http://113.90.157.29:6006/udp/239.77.1.93:5146
湖北卫视,http://14.212.138.50:5555/udp/239.77.1.93:5146
湖北卫视,http://113.101.28.221:8889/udp/239.77.1.93:5146
湖北卫视,http://113.94.123.97:19888/udp/239.77.1.93:5146
湖北卫视,http://183.6.69.75:4001/udp/239.77.1.93:5146
湖北卫视,http://14.145.210.68:6006/udp/239.77.1.93:5146
湖北卫视,http://106.110.45.11:4001/udp/239.77.1.93:5146
湖北卫视,http://121.32.204.50:9999/udp/239.77.1.93:5146
辽宁卫视,http://113.90.157.29:6006/udp/239.77.1.103:5146
辽宁卫视,http://14.212.138.50:5555/udp/239.77.1.103:5146
辽宁卫视,http://113.101.28.221:8889/udp/239.77.1.103:5146
辽宁卫视,http://113.94.123.97:19888/udp/239.77.1.103:5146
辽宁卫视,http://183.6.69.75:4001/udp/239.77.1.103:5146
辽宁卫视,http://14.145.210.68:6006/udp/239.77.1.103:5146
辽宁卫视,http://106.110.45.11:4001/udp/239.77.1.103:5146
辽宁卫视,http://121.32.204.50:9999/udp/239.77.1.103:5146
辽宁卫视 ,http://113.90.157.29:6006/udp/239.77.0.123:5146
辽宁卫视 ,http://14.212.138.50:5555/udp/239.77.0.123:5146
辽宁卫视 ,http://113.101.28.221:8889/udp/239.77.0.123:5146
辽宁卫视 ,http://113.94.123.97:19888/udp/239.77.0.123:5146
辽宁卫视 ,http://183.6.69.75:4001/udp/239.77.0.123:5146
辽宁卫视 ,http://14.145.210.68:6006/udp/239.77.0.123:5146
辽宁卫视 ,http://106.110.45.11:4001/udp/239.77.0.123:5146
辽宁卫视 ,http://121.32.204.50:9999/udp/239.77.0.123:5146
黑龙江卫视,http://113.90.157.29:6006/udp/239.77.1.6:5146
黑龙江卫视,http://14.212.138.50:5555/udp/239.77.1.6:5146
黑龙江卫视,http://113.101.28.221:8889/udp/239.77.1.6:5146
黑龙江卫视,http://113.94.123.97:19888/udp/239.77.1.6:5146
黑龙江卫视,http://183.6.69.75:4001/udp/239.77.1.6:5146
黑龙江卫视,http://14.145.210.68:6006/udp/239.77.1.6:5146
黑龙江卫视,http://106.110.45.11:4001/udp/239.77.1.6:5146
黑龙江卫视,http://121.32.204.50:9999/udp/239.77.1.6:5146
贵州卫视,http://113.90.157.29:6006/udp/239.77.1.221:5146
贵州卫视,http://14.212.138.50:5555/udp/239.77.1.221:5146
贵州卫视,http://113.101.28.221:8889/udp/239.77.1.221:5146
贵州卫视,http://113.94.123.97:19888/udp/239.77.1.221:5146
贵州卫视,http://183.6.69.75:4001/udp/239.77.1.221:5146
贵州卫视,http://14.145.210.68:6006/udp/239.77.1.221:5146
贵州卫视,http://106.110.45.11:4001/udp/239.77.1.221:5146
贵州卫视,http://121.32.204.50:9999/udp/239.77.1.221:5146
四川卫视,http://113.90.157.29:6006/udp/239.77.1.215:5146
四川卫视,http://14.212.138.50:5555/udp/239.77.1.215:5146
四川卫视,http://113.101.28.221:8889/udp/239.77.1.215:5146
四川卫视,http://113.94.123.97:19888/udp/239.77.1.215:5146
四川卫视,http://183.6.69.75:4001/udp/239.77.1.215:5146
四川卫视,http://14.145.210.68:6006/udp/239.77.1.215:5146
四川卫视,http://106.110.45.11:4001/udp/239.77.1.215:5146
四川卫视,http://121.32.204.50:9999/udp/239.77.1.215:5146
河南卫视,http://113.90.157.29:6006/udp/239.77.1.229:5146
河南卫视,http://14.212.138.50:5555/udp/239.77.1.229:5146
河南卫视,http://113.101.28.221:8889/udp/239.77.1.229:5146
河南卫视,http://113.94.123.97:19888/udp/239.77.1.229:5146
河南卫视,http://183.6.69.75:4001/udp/239.77.1.229:5146
河南卫视,http://14.145.210.68:6006/udp/239.77.1.229:5146
河南卫视,http://106.110.45.11:4001/udp/239.77.1.229:5146
河南卫视,http://121.32.204.50:9999/udp/239.77.1.229:5146
云南卫视,http://113.90.157.29:6006/udp/239.253.43.37:5146
云南卫视,http://14.212.138.50:5555/udp/239.253.43.37:5146
云南卫视,http://113.101.28.221:8889/udp/239.253.43.37:5146
云南卫视,http://113.94.123.97:19888/udp/239.253.43.37:5146
